player,Season,season_type,Team,adv_PER,adv_TS_pct,adv_3PAr,adv_FTr,adv_ORB_pct,adv_DRB_pct,adv_TRB_pct,adv_AST_pct,adv_STL_pct,adv_BLK_pct,adv_TOV_pct,adv_USG_pct,adv_OWS,adv_DWS,adv_WS,adv_WS/48,adv_OBPM,adv_DBPM,adv_BPM,adv_VORP,pg_FG,pg_FGA,pg_FG_pct,pg_3P,pg_3PA,pg_3P_pct,pg_2P,pg_2PA,pg_2P_pct,pg_eFG_pct,pg_FT,pg_FTA,pg_FT_pct,pg_ORB,pg_DRB,pg_TRB,pg_AST,pg_STL,pg_BLK,pg_TOV,pg_PF,pg_PTS,Weighted_BPM,CareerNetRating,ImpactScore,PeakImpactSeason,AgeCurveIndex,Age,Pos,G,GS,MP,clutch_GP,clutch_W,clutch_L,clutch_MIN,clutch_PTS,clutch_FGM,clutch_FGA,clutch_FG_pct,clutch_3PM,clutch_3PA,clutch_3P_pct,clutch_FTM,clutch_FTA,clutch_FT_pct,clutch_OREB,clutch_DREB,clutch_REB,clutch_AST,clutch_TOV,clutch_STL,clutch_BLK,clutch_PF,clutch_FP,clutch_DD2,clutch_TD3,clutch_plus_minus
Giannis Antetokounmpo,2024-25,Regular Season,MIL,30.5,0.625,0.048,0.536,7.3,29.7,19,36,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,21745.5,6.849705121572685,2.2205882352941173,FALSE,0.8892128279883382,30,,67,67,2289,29,17,12,4,2.9,1,2.1,46.7,0.1,0.1,50,0.9,1.3,67.6,0.5,1.3,1.8,0.8,0.2,0,0.2,0.4,6.9,27,6,2.2
Giannis Antetokounmpo,2025-26,Regular Season,MIL,34.3,0.68,0.081,0.574,11.5,26.1,18.9,40.2,1.5,2.7,13.5,37.3,3.3,1,4.3,0.268,8.4,2.2,10.7,2.4,11.1,17.1,0.649,0.5,1.4,0.389,10.5,15.7,0.672,0.664,6.4,9.8,0.651,2.9,6.8,9.7,5.7,0.9,0.8,3.3,2.7,29.1,8142.7,6.849705121572685,2.198529411764706,FALSE,1,31,,26,26,761,16,9,7,3.9,2.9,0.9,2.2,42.9,0,0.2,0,1.1,1.5,70.8,0.6,0.9,1.5,0.6,0.6,0.3,0.1,0.4,6.2,9,0,0.4
Luka Doncic,2018-19,Regular Season,DAL,19.6,0.545,0.433,0.409,4,21.9,13,31.6,1.6,0.9,15,30.5,2.1,2.8,4.9,0.101,3.6,0.3,3.9,3.4,7,16.5,0.427,2.3,7.1,0.327,4.7,9.3,0.503,0.497,4.8,6.7,0.713,1.2,6.6,7.8,6,1.1,0.3,3.4,1.9,21.2,9040.199999999999,7.604186212220177,0.8161764705882353,FALSE,0.6829268292682927,19,,72,72,2318,38,16,22,3.6,3.2,1.1,2.4,44.6,0.3,1.1,30,0.7,1,66.7,0.3,0.6,0.9,0.6,0.3,0.1,0.1,0.4,5.2,15,6,-0.4
Luka Doncic,2019-20,Playoffs,DAL,26.9,0.596,0.344,0.5,2,28.3,15,42.7,1.5,1.2,16.6,37.5,0.4,0,0.5,0.101,6.9,1,7.9,0.5,10.7,21.3,0.5,2.7,7.3,0.364,8,14,0.571,0.563,7,10.7,0.656,0.7,9.2,9.8,8.7,1.2,0.5,5.2,2.8,31,1698.5,8.390677179962896,1,FALSE,0.9405594405594405,20,,6,6,215,2,1,1,6.4,6.5,2.5,4.5,55.6,1.5,2.5,60,0,0,0,0,2,2,1,1,0,0,0.5,9.4,1,1,-4
Luka Doncic,2019-20,Regular Season,DAL,27.6,0.585,0.431,0.448,4.1,25,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,0.207,7.4,1,8.4,5.4,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7,9.2,0.758,1.3,8.1,9.4,8.8,1,0.2,4.3,2.5,28.8,17194.8,7.604186212220177,1.7573529411764706,FALSE,0.9616724738675959,20,,61,61,2047,31,14,17,4.1,2.8,1,2.7,36.1,0.2,1.3,17.1,0.6,1,64.5,0.2,1.1,1.2,0.9,0.5,0.1,0,0.5,5.4,21,12,0.1
Luka Doncic,2020-21,Playoffs,DAL,27.5,0.572,0.388,0.26,1.6,22.3,11.4,54.1,1.7,1.2,12.8,40.4,0.6,0.1,0.7,0.127,10,1.8,11.8,1,13.7,28,0.49,4.4,10.9,0.408,9.3,17.1,0.542,0.569,3.9,7.3,0.529,0.6,7.3,7.9,10.3,1.3,0.4,4.6,2.4,35.7,3315.8,8.390677179962896,1.5514705882352942,TRUE,0.9615384615384615,21,,7,7,281,4,3,1,3,1.3,0.5,2.5,20,0.3,0.8,33.3,0,0,0,0,0.3,0.3,0.5,0.3,0.3,0,0,2.8,3,1,4.3
Luka Doncic,2020-21,Regular Season,DAL,25.3,0.587,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36,5.1,2.6,7.7,0.163,6.1,0.7,6.8,5.1,9.8,20.5,0.479,2.9,8.3,0.35,6.9,12.2,0.567,0.55,5.2,7.1,0.73,0.8,7.2,8,8.6,1,0.5,4.3,2.3,27.7,15381.6,7.604186212220177,1.286764705882353,FALSE,0.8815331010452963,21,,66,66,2262,29,17,12,3.1,2.8,1,2.2,47.6,0.2,0.8,26.1,0.5,0.6,83.3,0,0.9,0.9,0.7,0.2,0.1,0,0.2,5.1,15,7,0.2
Luka Doncic,2021-22,Playoffs,DAL,28.6,0.577,0.42,0.384,2.1,29.7,15.7,37.3,2.5,1.5,12.5,40.4,1.1,0.8,1.9,0.164,6.8,2.5,9.3,1.6,10.7,23.5,0.455,3.4,9.9,0.345,7.3,13.6,0.534,0.527,6.9,9,0.77,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,5133.6,8.390677179962896,1.5220588235294117,FALSE,1,22,,15,15,552,4,1,3,2.7,2.5,1,2.3,44.4,0.5,1,50,0,0,0,0,0.8,0.8,0.8,0,0.3,0,0.5,5.3,3,0,-2
Luka Doncic,2021-22,Regular Season,DAL,25.1,0.571,0.406,0.349,2.7,26,14.3,46,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,18868.199999999997,7.604186212220177,1.4117647058823528,FALSE,0.8745644599303136,22,,65,65,2301,29,21,8,3.2,2.7,1,2.1,48.4,0.2,0.9,23.1,0.4,0.5,85.7,0,0.6,0.6,0.5,0.2,0.1,0,0.2,4.3,19,4,0.9
Luka Doncic,2022-23,Regular Season,DAL,28.7,0.609,0.373,0.479,2.6,25.4,13.8,42.3,1.9,1.2,11.9,37.6,7.3,2.9,10.2,0.204,7.6,1.4,8.9,6.6,10.9,22,0.496,2.8,8.2,0.342,8.1,13.8,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.4,21279.9,7.604186212220177,1.9044117647058822,FALSE,1,23,,66,66,2391,41,20,21,4.4,3.2,1.1,2.4,44,0.2,0.9,19.4,0.9,1.2,75,0.1,1.2,1.3,0.8,0.3,0.2,0.1,0.4,6.4,26,7,0.7
Luka Doncic,2023-24,Playoffs,DAL,22.5,0.556,0.419,0.304,2.1,24.2,13.2,35.3,2.4,0.9,13.6,33.4,1.3,1.5,2.8,0.149,5.1,2.4,7.6,2.2,10.2,22.9,0.446,3.1,9.6,0.322,7.1,13.3,0.536,0.514,5.3,7,0.765,0.7,8.7,9.5,8.1,1.9,0.4,4.1,2.5,28.9,6840,8.390677179962896,0.9852941176470589,FALSE,0.7867132867132867,24,,22,22,900,11,6,5,3.7,1.9,0.5,1.5,35.3,0.2,0.7,25,0.6,1,63.6,0.2,0.6,0.8,0.9,0.3,0.4,0,0.3,5.1,7,6,1
Luka Doncic,2023-24,Regular Season,DAL,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36,8.5,3.5,12,0.22,8.3,1.7,9.9,8,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9,25977.600000000002,7.604186212220177,2.139705882352941,TRUE,0.9790940766550523,24,,70,70,2624,28,20,8,3.4,2.5,0.8,1.6,45.7,0.3,0.8,40.9,0.7,0.9,76,0,0.7,0.7,0.9,0.2,0.1,0,0.2,5,23,9,2.3
